age,gender,disa_rate_pop
0,2,0
1,2,0
2,2,0
4,2,0
8,2,0
9,1,0
14,1,0
14,2,0
16,1,1.74783312388e-06
17,2,0
18,1,3.49550132364e-06
18,2,0
19,1,.0000105755465696
19,2,2.70173553553e-06
20,1,.0000320112384206
20,2,3.90625322127e-06
21,1,.0000473311503381
21,2,3.86227687906e-06
22,1,.0000501862617545
22,2,8.24378517350e-06
23,1,.0000540720584863
23,2,8.71206940559e-06
24,1,.0000643789422025
24,2,8.52603024456e-06
25,1,.0000825974655674
25,2,7.22766373095e-06
26,1,.0000873697730743
26,2,9.27121589375e-06
27,1,.0001058618775891
27,2,.0000120407629937
28,1,.0000886548934306
28,2,.0000109072740511
29,1,.0000914251109207
29,2,.000011887282472
30,1,.0001026882602443
30,2,.0000156548431136
31,1,.0001045650568759
31,2,.0000156143625901
32,1,.000123184958408
32,2,.0000152595993599
33,1,.0001161059654745
33,2,.0000166243830685
34,1,.0001394262061665
34,2,.0000209399255865
35,1,.0001254862872834
35,2,.0000196258354083
36,1,.0001453326394707
36,2,.000026202933199
37,1,.0001507530071815
37,2,.0000271755749894
38,1,.0001689202856298
38,2,.0000317118403364
39,1,.0001781705734082
39,2,.0000301275930088
40,1,.0001837493300142
40,2,.0000304138851868
41,1,.0001908123259877
41,2,.0000350751995884
42,1,.0002021759233855
42,2,.0000373255532523
43,1,.0002114721614662
43,2,.0000362341146778
44,1,.0002293692432945
44,2,.000046571405388
45,1,.000238958183932
45,2,.0000453982915624
46,1,.0002479088165475
46,2,.0000494391639821
47,1,.0002645731215805
47,2,.0000535750732523
48,1,.0002741906718657
48,2,.0000564588488917
49,1,.0002830905502458
49,2,.0000545374093675
50,1,.0002764611692546
50,2,.0000597668935919
51,1,.0002987265324076
51,2,.0000638418540391
52,1,.0002912276274901
52,2,.0000617022218122
53,1,.0003056691732032
53,2,.0000616024678625
54,1,.0003068256829916
54,2,.0000717682510493
55,1,.0003184903485506
55,2,.0000731405050301
56,1,.0003481354582972
56,2,.0000749357129553
57,1,.0003724728362237
57,2,.000077599445536
58,1,.0003666056478372
58,2,.0000790645555801
59,1,.0004000801739898
59,2,.0000757283028834
60,1,.0004317364566226
60,2,.0000819557819989
61,1,.0004326092491483
61,2,.0000751497207879
62,1,.0004475836337536
62,2,.0000737447657279
63,1,.0004760787022282
63,2,.0000650171093375
64,1,.0004825412491428
64,2,.0000657005825742
65,1,.000499879181369
65,2,.0000695702972279
66,1,.0005202304289522
66,2,.0000708563396712
67,1,.00047158315479
67,2,.0000645923667836
68,1,.0004855786381999
68,2,.0000557876184747
69,1,.0004985429241439
69,2,.0000515272309422
70,1,.0005101379064555
70,2,.0000547373420224
71,1,.0005092920483541
71,2,.0000547033114746
72,1,.0004726017288907
72,2,.0000489590447899
73,1,.0005232886607668
73,2,.0000571118153883
74,1,.0004749695211177
74,2,.000044920152616
75,1,.0004515520500145
75,2,.0000410065619038
76,1,.0004410852408694
76,2,.0000409952870497
77,1,.0004124106529302
77,2,.0000349327327558
78,1,.0003894620100398
78,2,.0000153293363819
79,1,.0002936905627441
79,2,.0000182017150116
80,1,.0002914918834655
80,2,.0000179958106884
81,1,.0002430087344401
81,2,.0000214819856335
82,1,.0002383751898901
82,2,.0000111799403093
83,1,.0002200540177196
83,2,.0000130355736804
84,1,.0002001725816855
84,2,8.47736483867e-06
85,1,.0001579037806792
85,2,9.95400937637e-06
86,1,.0001584635453161
86,2,4.86737413714e-06
87,1,.0001699019184796
87,2,.0000106039814481
88,1,.0001459093746348
88,2,9.60446125717e-06
89,1,.000104267383216
89,2,9.39170921227e-06
90,1,.0001843881936088
90,2,0
91,1,.0001029139194066
91,2,4.93674680539e-06
92,1,.0001468577175446
92,2,.0000255794155637
93,1,.0000706712824483
93,2,.0000103472172722
94,1,.000126911674844
94,2,0
95,1,.0000633747819943
95,2,.0000233433982956
96,1,.0001582316031599
96,2,.0000180737204448
97,1,.0001520223761074
97,2,0
98,1,.0002815294420875
98,2,0
99,1,.0009731498960007
99,2,0
100,1,.0016508067794641
100,2,0
