age,gender,survival_rate_pop
0,2,0
1,2,0
2,2,0
4,2,0
8,2,0
9,1,0
14,1,0
14,2,0
16,1,0
17,2,0
18,1,0
18,2,0
19,1,0
19,2,0
20,1,0
20,2,1.13848045229e-07
21,1,0
21,2,0
22,1,0
22,2,0
23,1,0
23,2,0
24,1,0
24,2,0
25,1,0
25,2,0
26,1,0
26,2,0
27,1,0
27,2,0
28,1,0
28,2,0
29,1,0
29,2,0
30,1,0
30,2,0
31,1,0
31,2,0
32,1,0
32,2,0
33,1,0
33,2,0
34,1,0
34,2,0
35,1,0
35,2,0
36,1,0
36,2,9.97708544059e-08
37,1,0
37,2,0
38,1,0
38,2,9.87739152897e-08
39,1,0
39,2,0
40,1,5.93775409372e-08
40,2,0
41,1,0
41,2,0
42,1,0
42,2,0
43,1,0
43,2,0
44,1,0
44,2,0
45,1,0
45,2,0
46,1,6.43197561543e-08
46,2,0
47,1,0
47,2,0
48,1,0
48,2,0
49,1,0
49,2,0
50,1,0
50,2,0
51,1,0
51,2,1.26520932728e-07
52,1,2.28355209264e-07
52,2,3.97934373421e-07
53,1,0
53,2,0
54,1,2.43168372878e-07
54,2,7.09608676722e-08
55,1,0
55,2,0
56,1,0
56,2,0
57,1,0
57,2,0
58,1,0
58,2,3.29260872112e-07
59,1,1.98876833988e-07
59,2,0
60,1,.0051058945720411
60,2,.0017977036879307
61,1,.0100287288779607
61,2,.003648968026764
62,1,.0121513696482648
62,2,.004510201003519
63,1,.0143152968298498
63,2,.0051617013256455
64,1,.0154154586661156
64,2,.0054102532626372
65,1,.0172073262514912
65,2,.00596143522054
66,1,.0184908983013937
66,2,.0062183282965251
67,1,.018816715585344
67,2,.006205067885856
68,1,.0191557520795774
68,2,.0061354932658716
69,1,.0199419651805004
69,2,.0061479216239331
70,1,.0206516085374933
70,2,.0060391183164537
71,1,.0206504374987755
71,2,.005911122740195
72,1,.0204949962186444
72,2,.0057312983101991
73,1,.0214753627142131
73,2,.0056800205523798
74,1,.0211345101087138
74,2,.0055311982325474
75,1,.0212172913538136
75,2,.0053443231248032
76,1,.0207384916439879
76,2,.0051304306654021
77,1,.0213434118788653
77,2,.0051521072884018
78,1,.0215175214600814
78,2,.0049616963609834
79,1,.0206155350361824
79,2,.0046350239499926
80,1,.0214680554850074
80,2,.004861995069979
81,1,.0135477758618156
81,2,.0029725638306255
82,1,.011230704712331
82,2,.0026178985263963
83,1,.009904369856143
83,2,.0022442107070539
84,1,.008847836197472
84,2,.0020164476184501
85,1,.0082142441159051
85,2,.001872656975558
86,1,.0065650242771836
86,2,.0018066243219725
87,1,.00558854157378
87,2,.0015087218841525
88,1,.0048447307423363
88,2,.0013898022290898
89,1,.0044388854377092
89,2,.0013257471044387
90,1,.004538046946907
90,2,.0016782306997744
91,1,.0038979208627631
91,2,.0013525282109806
92,1,.0033254836023027
92,2,.0014017403807996
93,1,.0032558095238332
93,2,.0014128839901068
94,1,.0029098551181371
94,2,.0013509730814008
95,1,.0036409442052838
95,2,.0015997490222341
96,1,.0031257893736577
96,2,.0018648917757873
97,1,.0033683710345298
97,2,.0015434063127078
98,1,.0041287132720001
98,2,.0026702903848504
99,1,.004793765454098
99,2,.0023615411259974
100,1,.0098176084481376
100,2,.015845873855444
