wage_decile,mean,sd,max,min
0,,.,,
1,127.8821741396962,4.265952277203795,129.10001,83.660004
2,134.9830982769292,4.634168342132549,145.5,129.11
3,161.6572054877645,10.36179271611263,180.11,145.50999
4,196.9418538822672,8.57044797962212,212.67,180.12
5,234.6615668796526,13.01591924822276,257.85001,212.67999
6,285.5335866852374,17.16199161660349,316.45999,257.85999
7,358.2629100089372,25.8245008890062,407.73001,316.47
8,477.7034500576873,44.53618072365551,562.27002,407.73999
9,700.8636223493371,96.34010955996035,903.62,562.28003
10,1534.044646720995,605.1696719388419,47468.602,903.63
