year,gender,age_grp,retired,disabled,widowed,deceased,avg_pension,pension_index,pension_type,pension_class
2025,Total,Total,4463200,0,0,178440,6809.1514,.035,Total,Total
2026,Total,Total,4289610,0,0,176400,7085.7627,.035,Total,Total
2027,Total,Total,4119440,0,0,173320,7371.3408,.035,Total,Total
2028,Total,Total,3950500,0,0,172510,7666.6196,.035,Total,Total
2029,Total,Total,3783190,0,0,171320,7971.2231,.035,Total,Total
2030,Total,Total,3619760,0,0,168390,8289.832,.035,Total,Total
2031,Total,Total,3455290,0,0,169190,8614.8154,.035,Total,Total
2032,Total,Total,3294910,0,0,165950,8945.0313,.035,Total,Total
2033,Total,Total,3135660,0,0,164590,9291.0488,.035,Total,Total
2034,Total,Total,2980980,0,0,160520,9642.6963,.035,Total,Total
2035,Total,Total,2827820,0,0,158970,9996.4961,.035,Total,Total
2036,Total,Total,2674750,0,0,158590,10361.12,.035,Total,Total
2037,Total,Total,2525020,0,0,155670,10731.576,.035,Total,Total
2038,Total,Total,2378840,0,0,152640,11097.18,.035,Total,Total
2039,Total,Total,2234400,0,0,151080,11467.479,.035,Total,Total
2040,Total,Total,2094440,0,0,146300,11845.511,.035,Total,Total
2041,Total,Total,1958300,0,0,143110,12212.711,.035,Total,Total
2042,Total,Total,1825160,0,0,140300,12563.555,.035,Total,Total
2043,Total,Total,1696890,0,0,135930,12914.429,.035,Total,Total
2044,Total,Total,1573480,0,0,130690,13227.829,.035,Total,Total
2045,Total,Total,1457680,0,0,123560,13549.15,.035,Total,Total
2046,Total,Total,1343960,0,0,121510,13824.617,.035,Total,Total
2047,Total,Total,1239140,0,0,113570,14070.75,.035,Total,Total
2048,Total,Total,1138780,0,0,108990,14270.715,.035,Total,Total
2049,Total,Total,1046060,0,0,101210,14485.607,.035,Total,Total
2050,Total,Total,960480,0,0,94010,14663.467,.035,Total,Total
2051,Total,Total,880620,0,0,87940,14760.664,.035,Total,Total
2052,Total,Total,808320,0,0,80790,14744.893,.035,Total,Total
2053,Total,Total,740900,0,0,75730,14741.488,.035,Total,Total
2054,Total,Total,680410,0,0,68850,14626.574,.035,Total,Total
2055,Total,Total,626610,0,0,61840,14550.362,.035,Total,Total
2056,Total,Total,579640,0,0,55370,14412.357,.035,Total,Total
2057,Total,Total,537580,0,0,50710,14202.75,.035,Total,Total
2058,Total,Total,500920,0,0,45240,14125.342,.035,Total,Total
2059,Total,Total,469000,0,0,40170,13967.461,.035,Total,Total
2060,Total,Total,440980,0,0,36260,13834.686,.035,Total,Total
2061,Total,Total,417470,0,0,32390,13814.663,.035,Total,Total
2062,Total,Total,397990,0,0,28520,13816.096,.035,Total,Total
2063,Total,Total,380470,0,0,26560,13913.187,.035,Total,Total
2064,Total,Total,365080,0,0,24820,14089.827,.035,Total,Total
2065,Total,Total,352070,0,0,22210,14396.797,.035,Total,Total
2066,Total,Total,339940,0,0,21140,14730.263,.035,Total,Total
2067,Total,Total,330040,0,0,19120,15178.591,.035,Total,Total
2068,Total,Total,319920,0,0,18840,15621.416,.035,Total,Total
2069,Total,Total,310770,0,0,18730,16068.873,.035,Total,Total
2070,Total,Total,302490,0,0,17750,16522.658,.035,Total,Total
2071,Total,Total,293920,0,0,17630,17023.152,.035,Total,Total
2072,Total,Total,287240,0,0,16050,17528.723,.035,Total,Total
2073,Total,Total,280170,0,0,16280,18064.191,.035,Total,Total
2074,Total,Total,273570,0,0,15820,18631.244,.035,Total,Total
2075,Total,Total,267210,0,0,15580,19200.279,.035,Total,Total
2076,Total,Total,261520,0,0,14760,19797.4,.035,Total,Total
2077,Total,Total,256880,0,0,13830,20443.99,.035,Total,Total
2078,Total,Total,251230,0,0,14050,21118.934,.035,Total,Total
2079,Total,Total,247030,0,0,13700,21773.199,.035,Total,Total
2080,Total,Total,242480,0,0,13220,22492.281,.035,Total,Total
2081,Total,Total,238710,0,0,12710,23213.33,.035,Total,Total
2082,Total,Total,234910,0,0,12660,23988.172,.035,Total,Total
2083,Total,Total,231820,0,0,12040,24767.369,.035,Total,Total
2084,Total,Total,227890,0,0,12190,25600.297,.035,Total,Total
2085,Total,Total,225610,0,0,11120,26484.014,.035,Total,Total
2086,Total,Total,222730,0,0,11180,27415.311,.035,Total,Total
2087,Total,Total,220140,0,0,11200,28349.234,.035,Total,Total
2088,Total,Total,218780,0,0,10260,29393.74,.035,Total,Total
2089,Total,Total,216480,0,0,10570,30444.629,.035,Total,Total
2090,Total,Total,214800,0,0,10180,31482.332,.035,Total,Total
2091,Total,Total,213290,0,0,9410,32602.678,.035,Total,Total
2092,Total,Total,211060,0,0,10320,33750.555,.035,Total,Total
2093,Total,Total,210140,0,0,9400,34953.383,.035,Total,Total
2094,Total,Total,208970,0,0,9450,36169.258,.035,Total,Total
2095,Total,Total,208580,0,0,8690,37441.445,.035,Total,Total
2096,Total,Total,208290,0,0,8900,38783.633,.035,Total,Total
2097,Total,Total,207570,0,0,9180,40138.871,.035,Total,Total
2098,Total,Total,206810,0,0,9220,41533.293,.035,Total,Total
2099,Total,Total,206910,0,0,8220,42962.289,.035,Total,Total
2100,Total,Total,205760,0,0,8330,44470.559,.035,Total,Total
2101,Total,Total,205130,0,0,8850,45973.352,.035,Total,Total
2102,Total,Total,204070,0,0,8940,47558.73,.035,Total,Total
2103,Total,Total,203060,0,0,8850,49190.789,.035,Total,Total
2104,Total,Total,201830,0,0,8800,50833.707,.035,Total,Total
